Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,CM,Hu,"Genomics Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
1,,CC,Huang,"Biomedical Translation Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
2,,MF,Hsu,"Genomics Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
3,,HJ,Chien,"Genomics Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
4,,PJ,Wu,"Genomics Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
5,,YI,Chen,"Genomics Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
6,,YM,Jeng,"Graduate Institute of Pathology, College of Medicine, National Taiwan University, Taipei, 10041, Taiwan.",Taiwan,National Taiwan University
7,,SC,Tang,"Department of Medical Science, National Tsing Hua University, Hsinchu, 30013, Taiwan.",Taiwan,National Tsing Hua University
8,,MH,Chung,"Department of Pathology, National Taiwan University Hospital-Hsinchu Branch, Hsinchu, 30331, Taiwan.",Taiwan,National Taiwan University Hospital-Hsinchu Branch
9,,CN,Shen,"Biomedical Translation Research Center, Academia Sinica, Taipei, 11529, Taiwan.",Taiwan,Unparsed
10,,MC,Chang,"Department of Internal Medicine, National Taiwan University Hospital, Taipei, 10041, Taiwan.",Taiwan,National Taiwan University Hospital
11,,YT,Chang,"Department of Internal Medicine, National Taiwan University Hospital, Taipei, 10041, Taiwan.",Taiwan,National Taiwan University Hospital
12,,YW,Tien,"Department of Surgery, National Taiwan University Hospital, Taipei, 10041, Taiwan.",Taiwan,National Taiwan University Hospital
13,,WH,Lee,"Department of Biological Chemistry, University of California, Irvine, CA, 92697, USA.",USA,University of California
14,,X,Yan,"School of Life Sciences, Tsinghua University, 100084, Beijing, China.",China,Tsinghua University
15,,X,Liu,"PhaBuilder Biotech Co. Ltd., Shunyi District, Zhaoquan Ying, 101309, Beijing, China.",China,Unparsed
16,,C,Zhao,"School of Life Sciences, Tsinghua University, 100084, Beijing, China.",China,Tsinghua University
17,,GQ,Chen,"MOE Key Lab for Industrial Biocatalysis, Dept Chemical Engineering, Tsinghua University, 100084, Beijing, China. chengq@mail.tsinghua.edu.cn.",China,Tsinghua University
