firstName,initials,lastName,pubmed_affiliation,pubmed_institute,address
Anmol,A,Baranwal,"Division of Hematology, Department of Medicine, Mayo Clinic, Rochester, MN, USA.",Unparsed,"200 1st St SW, Rochester, MN 55905, USA"
James,J,Foran,"Division of Hematology-Oncology, Blood and Marrow Transplantation Program, Department of Medicine, Mayo Clinic, Jacksonville, FL, USA.",Unparsed,"4500 San Pablo Rd S, Jacksonville, FL 32224, USA"
Talha,T,Badar,"Division of Hematology-Oncology, Blood and Marrow Transplantation Program, Department of Medicine, Mayo Clinic, Jacksonville, FL, USA.",Unparsed,"4500 San Pablo Rd S, Jacksonville, FL 32224, USA"
Abhinav,A,Adhikari,"Department of Biochemistry and Molecular Biology, Southern Illinois University School of Medicine, Carbondale, Illinois, USA.",Southern Illinois University School of Medicine,"Neckers Building, 1245 Lincoln Dr #4409, Carbondale, IL 62901, USA"
Anup,A,Adhikari,"Department of Biochemistry and Molecular Biology, Southern Illinois University School of Medicine, Carbondale, Illinois, USA.",Southern Illinois University School of Medicine,"Neckers Building, 1245 Lincoln Dr #4409, Carbondale, IL 62901, USA"
Wenyan,W,Zhang,"Department of Microbiology and Immunology, Vagelos College of Physicians and Surgeons, Columbia University, New York, New York, USA.",Columbia University,"1208, Hammer Health Sciences Building, 701 W 168th St, New York, NY 10032, USA"
Weimin,W,Zhang,"Department of Microbiology and Immunology, Vagelos College of Physicians and Surgeons, Columbia University, New York, New York, USA.",Columbia University,"1208, Hammer Health Sciences Building, 701 W 168th St, New York, NY 10032, USA"
Wenzhu,W,Zhang,"Department of Microbiology and Immunology, Vagelos College of Physicians and Surgeons, Columbia University, New York, New York, USA.",Columbia University,"1208, Hammer Health Sciences Building, 701 W 168th St, New York, NY 10032, USA"
Wenjun,W,Zhang,"Department of Microbiology and Immunology, Vagelos College of Physicians and Surgeons, Columbia University, New York, New York, USA.",Columbia University,"1208, Hammer Health Sciences Building, 701 W 168th St, New York, NY 10032, USA"
Urmimala,U,Basu,"Department of Microbiology and Immunology, Vagelos College of Physicians and Surgeons, Columbia University, New York, New York, USA.",Columbia University,"1208, Hammer Health Sciences Building, 701 W 168th St, New York, NY 10032, USA"
Rwik,R,Sen,"Department of Biochemistry and Molecular Biology, Southern Illinois University School of Medicine, Carbondale, Illinois, USA.",Southern Illinois University School of Medicine,"Neckers Building, 1245 Lincoln Dr #4409, Carbondale, IL 62901, USA"
Parijat,P,Chakraborty,"Department of Biochemistry and Molecular Biology, Southern Illinois University School of Medicine, Carbondale IL-62901, USA.",Southern Illinois University School of Medicine,"Neckers Building, 1245 Lincoln Dr #4409, Carbondale, IL 62901, USA"
Parijat,P,Chakraborty,"Department of Biochemistry and Molecular Biology, Southern Illinois University School of Medicine, Carbondale, IL 62901, USA.",Southern Illinois University School of Medicine,"Neckers Building, 1245 Lincoln Dr #4409, Carbondale, IL 62901, USA"
Joern,J,Dunkel,"Department of Mathematics, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA.",Massachusetts Institute of Technology,"182 Memorial Dr, Cambridge, MA 02139, USA"
Yang-Yu,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yining,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yuting,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yumeng,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yusen,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yang,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yue,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yi,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yuan,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Yanru,Y,Liu,"Department of Veterans Affairs, Tennessee Valley Health Care System, Nashville, TN, USA.",Unparsed,"1310 24th Ave S, Nashville, TN 37212, USA"
Jack,J,Hawiger,"Vanderbilt University Medical Center, 21st Avenue South, T-1218, MCN, Nashville, TN, 37232, USA. jack.hawiger@vumc.org.",Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232, USA"
Brandon,B,Mangum,"Department of Plant Biology, University of Georgia, Athens, GA 30606, USA.",University of Georgia,"University of Georgia, 120 Carlton St, Athens, GA 30602, USA"
Marin,M,Brewer,"Department of Plant Pathology, University of Georgia, Athens, GA 30606, USA.",University of Georgia,"120 Carlton St, Athens, GA 30602, USA"
Michelle,M,Momany,"Department of Plant Biology, University of Georgia, Athens, GA 30606, USA.",University of Georgia,"University of Georgia, 120 Carlton St, Athens, GA 30602, USA"
Guolei,G,Zhao,"Department of Biological Sciences, State University of New York at Buffalo, Buffalo, New York, USA.",State University of New York at Buffalo,"211 Mary Talbert Way, Buffalo, NY 14260, USA"
Oleh,O,Khalimonchuk,"Fred and Pamela Buffett Cancer Center, Omaha, NE 68198, USA.",Unparsed,"505 S 45th St, Omaha, NE 68105, USA"
Elayaraja,E,Kolanthai,"Department of Materials Sciences and Engineering, Advanced Materials Processing and Analysis Centre, University of Central Florida, Orlando, FL, USA. mkeraja@gmail.com.",University of Central Florida,"152 Ara Dr, Orlando, FL 32826, USA"
Yan,Y,Zeng,"Division of Pulmonary and Critical Care Medicine, The First Affiliated Hospital of Sun Yat-Sen University, Guangzhou, 510080, China.",The First Affiliated Hospital of Sun Yat-Sen University,"58 Zhong Shan Er Lu, Yue Xiu Qu, Guang Zhou Shi, Guang Dong Sheng, China, 510060"
Yan-Jin,Y,Zhang,"Department of Pathology & Immunology, Biology of Inflammation Center, Baylor College of Medicine, One Baylor Plaza, Houston, TX, 77030, USA.",Baylor College of Medicine,"1 Baylor Plz, Houston, TX 77030, USA"
Yugang,Y,Zhang,"Department of Pathology & Immunology, Biology of Inflammation Center, Baylor College of Medicine, One Baylor Plaza, Houston, TX, 77030, USA.",Baylor College of Medicine,"1 Baylor Plz, Houston, TX 77030, USA"
Yixiang,Y,Zhang,"Department of Pathology & Immunology, Biology of Inflammation Center, Baylor College of Medicine, One Baylor Plaza, Houston, TX, 77030, USA.",Baylor College of Medicine,"1 Baylor Plz, Houston, TX 77030, USA"
